has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://988yx.top/sptfy/,1
1,1,1,1,0,1,0,0,0,0,0,1,23,0,0,192,0,0,27,193,25,60,1,0,1,21302,1,337,136,407,0,1,0,0,1,0,63,1,0,1,5,178,0,https://votre-nouveau-locker.com/,1
1,1,1,1,0,1,0,0,0,0,0,1,23,0,0,192,0,0,27,193,25,60,1,0,1,21316,1,337,136,407,0,1,0,0,1,0,63,1,0,1,5,178,0,https://votre-nouveau-locker.com/as.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us10.campaign-archive.com/?u=8c3b719cb542ffd36332f8991&id=6ea7359f22,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,1,0,0,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://px.rozanease.click/dkb_int/cfhkpn3d17au.html?id=692953010457629455114772373914882187879788,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,21,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://portalfuity.z13.web.core.windows.net/,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,21,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://portalfuity.z13.web.core.windows.net,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,30,0,0,0,30,0,0,0,15,0,0,0,0,1,0,7,0,0,0,0,0,0,https://preview.webflow.com/preview/hazels-awesome-site-f0b66e?utm_medium=preview_link&utm_source=designer&utm_content=hazels-awesome-site-f0b66e&preview=de934768b0b4a9187b4623d91f61c554&workflow=sitePreview,1
1,1,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,8,0,54,16,0,0,0,278,0,1,3,52,0,1,1,0,0,1,17,0,0,0,0,6,0,https://auth557.wixsite.com/my-site-1,1
1,1,1,1,0,1,0,0,0,0,0,2,22,0,0,1446,0,0,15,7,8,78,1,1,1,51160,19,2251,8,2480,0,1,1,0,1,0,7,1,0,1,2,1396,0,http://allegrolokalnie.pl-oferta0916430.icu/,1
1,1,1,1,0,1,0,0,0,0,0,2,22,0,0,1446,0,0,15,7,8,78,1,1,1,51160,19,2251,8,2480,0,1,1,0,1,0,7,1,0,1,2,1396,0,https://allegrolokalnie.pl-oferta0916430.icu,1
1,1,1,1,0,1,0,0,0,0,0,2,22,0,0,1446,0,0,15,7,8,78,1,1,1,51160,19,2251,8,2480,0,1,1,0,1,0,7,1,0,1,2,1396,0,https://allegrolokalnie.pl-oferta0916430.icu/,1
1,1,1,1,0,1,0,0,0,0,0,1,23,0,0,192,0,0,27,193,25,60,1,0,1,21316,1,337,136,407,0,1,0,0,1,0,63,1,0,1,5,178,0,https://fr-ulys-telepeages.com/,1
1,1,1,1,0,1,0,0,0,0,0,1,23,0,0,192,0,0,27,193,25,60,1,0,1,21316,1,337,136,407,0,1,0,0,1,0,63,1,0,1,5,178,0,https://fr-ulys-telepeages.com/as.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us6.campaign-archive.com/?u=f1bbd9d107c3776d8423f7af9&id=d16e31f1ae,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-9285835.cfd,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta2868547.cfd,1
1,1,0,1,0,1,0,0,1,0,0,11,0,0,0,4,0,0,9,2,13,4,0,0,0,192,0,1,1,7,0,0,1,0,0,0,8,0,0,0,0,1,0,https://form.jotform.com/252112141571039,1
1,1,1,1,0,1,0,0,1,0,0,4,3,0,0,0,0,0,14,1,19,13,0,1,0,501,3,3,3,73,0,0,0,0,1,0,14,0,0,0,0,6,0,https://zaap.bio/mooreboyysy,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://validatez-2m9j-dot-mail-auth-001100.uw.r.appspot.com/#aW5mb0B3aGktaW5rYXNzby5kZQ=,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us20.campaign-archive.com/?u=b4328ddaf761d8d97dfc7ea9c&id=6b9ed1719e,1
1,1,0,1,0,1,0,0,1,0,0,11,0,0,0,4,0,0,9,1,12,4,0,1,0,145,0,1,1,7,0,0,1,0,0,0,8,0,0,0,0,0,0,https://form.jotform.com/252110992189056,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us4.campaign-archive.com/?u=e75e77df0ce5a872d6efc3945&id=927451558d,1
1,1,0,1,0,1,0,0,1,0,0,11,0,0,0,3,0,0,9,1,13,43,0,0,1,182,0,1,1,7,0,0,1,0,0,0,8,0,0,0,0,0,0,https://form.jotform.com/252104086746052,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us19.campaign-archive.com/?u=90f14327d247a1d5aa5a01e17&id=d8a10b6c27,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us6.campaign-archive.com/?u=b9ba4fb6efdaaaf045e6d99ab&id=7cac303bc9,1
1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20,0,63,21,1,0,0,380,1,14,3,20,0,1,0,0,1,0,15,0,0,0,0,5,0,https://hipolink.net/versecproceedjyad21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-kategoria73861859572685.shop,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,28,9,0,0,0,125,0,3,1,27,0,1,0,0,0,0,12,0,0,0,0,4,0,https://hoo.be/aussbe,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://onf6sb82y.duckdns.org/,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://y60ajjc.duckdns.org/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-72-ver59-cv39532-id28524.sbs,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://www.ng0jw0rijs.bbk0ku.duckdns.org/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.oferta2012983.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-oferta85373465234.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegro.pl-rezerwacja622754.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://rehearsal3859730740.blob.core.windows.net/5509241125/index.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-4563547435oferta.icu,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegro.pl-kategoria73861859572685.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-58137.icu,1
1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,3,4,1,44,1,0,0,431,2,4,2,19,0,0,0,0,0,0,3,0,0,0,0,2,0,https://wetransfer0fille7293.blob.core.windows.net/farruca3523/index.html,1
1,1,1,1,0,1,1,0,0,0,0,8,3,0,0,2,0,0,6,0,4,13,0,0,0,600,0,5,1,44,0,0,1,0,0,1,3,0,0,0,0,10,0,https://wetransfer0fille7293.blob.core.windows.net/farruca3523/webm.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://mobile8865515320.blob.core.windows.net/frequency/index.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegro.pl-58137.icu,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegro.pl-ogloszenie81234.cfd,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-oferta452356.cfd,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,https://bkmofg.top/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta85373465234.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-584943.top,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-584943.top,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,https://resenabank.top/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,109,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,https://cdmmyh.com/web/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.ver194-id77102-cfi119u-cid892.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://empireascend.com/Ions/ionoz/2fa.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-kategoria189723348925136.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-9285835.cfd,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-oferta5701532.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-kategoria189723348925136.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta5701532.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-oferta452356.cyou,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta452356.cyou,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-ogloszenie-670943409.icu,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-oferta2868547.cfd,1
1,1,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,9,0,59,16,1,0,0,233,1,0,2,76,0,1,1,0,0,1,17,0,0,0,0,7,0,https://microsftsent1.wixsite.com/accountsshopifycom,1
1,1,1,1,0,1,0,0,0,0,0,10,2,0,0,0,0,0,9,4,6,6,1,0,0,682,0,5,1,78,0,0,1,0,0,1,16,0,0,0,0,2,0,https://site-96omkjy7k.godaddysites.com/,1
1,1,1,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,14,7,6,6,1,0,0,681,0,4,6,49,0,0,1,0,0,1,16,0,0,0,0,5,0,https://verify23.godaddysites.com/,1
1,1,1,1,0,1,0,1,0,0,0,4,2,0,0,9,0,0,9,19,65,16,0,1,0,747,2,20,5,187,0,1,1,0,0,1,16,1,0,0,0,26,0,https://thatssewcindy1.wixsite.com/my-site-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta2312890.icu,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-oferta2312890.icu,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,https://plsavnetfiix.com/,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,https://plsavnetfiix.com/captcha,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,36,0,0,40,16,21,20,1,1,1,5244,0,38,5,137,1,0,0,0,0,0,5,1,0,0,0,55,0,https://declaracionjuradaviajerosguatemala.com/?gad_source=1&amp;gad_campaignid=22761959889&amp;gbraid=0AAAABAfWQsFMh2agPF1q0TBvaVHEwO4Hx&amp;gclid=Cj0KCQjwhafEBhCcARIsAEGZEKJdb7yQb9HPMNLDyCsEHIuPXECdW-ywMdPsE1xSSfUD5s0ZoDdwjWEaAjrrEALw_wcB,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-9124352123.icu,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.pl-oferta452356.cfd,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-rezerwacja622754.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegro.pl-oferta1738292.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://allegrolokalnie.pl-oferta1738292.sbs,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.pl-ver2196-id70456-cfi849u-cid71062.shop,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.508554.shop,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,28,0,0,0,43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://accountinformation-checknow.web.app/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,28,0,0,0,43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://accountinformation-checknow.firebaseapp.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,28,0,0,0,43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://activity-info-kr-feedback.web.app/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,28,0,0,0,43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://activity-info-kr-feedback.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,208,0,1,0,6,0,0,0,0,1,0,1,0,0,0,0,3,0,https://bncr1.webcindario.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,28,0,0,0,43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://activityinfo-support-now.firebaseapp.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://aitimaanatherisi.web.app/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://aitimaanatherisi.firebaseapp.com/,1
